area_id,areaname,ceiling,cloud_cover,condition,dew_point,humidity,pressure,province,temperature,timestamp,url,uv_index,visibility,wind,wind_gust
3483118,Pondambea,5395 m,55%,Clouds and sun,25°,64%,1009.80 mbar,Southeast Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Pondambea/3483118/current-weather/3483118,9 Very High,11 km,WNW at 11 km/h,13 km/h
203553,Sintang,457 m,94%,Cloudy,24°,83%,1011.10 mbar,West Kalimantan,27°,12:00 PM,https://www.accuweather.com/en/id/Sintang/203553/current-weather/203553,2 Low,10 km,E at 2 km/h,3 km/h
3471978,Wajo Hulu,0 m,78%,Mostly cloudy,24°,76%,1010.90 mbar,West Kalimantan,29°,12:00 PM,https://www.accuweather.com/en/id/Wajo-Hulu/3471978/current-weather/3471978,3 Moderate,8 km,NE at 8 km/h,8 km/h
3468385,Wanasaba,5700 m,35%,Partly sunny,24°,65%,1011.00 mbar,West Nusa Tenggara,31°,1:00 PM,https://www.accuweather.com/en/id/Wanasaba/3468385/current-weather/3468385,11 Extreme,8 km,W at 9 km/h,9 km/h
3468309,Tetebatu,5883 m,15%,Mostly sunny,22°,75%,1011.00 mbar,West Nusa Tenggara,27°,1:00 PM,https://www.accuweather.com/en/id/Tetebatu/3468309/current-weather/3468309,12 Extreme,10 km,NNE at 17 km/h,22 km/h
3468201,Waja Geseng,5883 m,15%,Mostly sunny,22°,75%,1011.00 mbar,West Nusa Tenggara,27°,1:00 PM,https://www.accuweather.com/en/id/Waja-Geseng/3468201/current-weather/3468201,12 Extreme,10 km,NNE at 17 km/h,22 km/h
3478709,Winangun I,5791 m,35%,Partly sunny,23°,58%,1011.00 mbar,North Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Winangun-I/3478709/current-weather/3478709,10 Very High,16 km,N at 15 km/h,15 km/h
3441427,Tuah Karya,0 m,35%,Partly sunny,25°,79%,1011.60 mbar,Riau,29°,12:00 PM,https://www.accuweather.com/en/id/Tuah-Karya/3441427/current-weather/3441427,5 Moderate,10 km,N at 0 km/h,0 km/h
1896524,Wenang,5791 m,35%,Partly sunny,23°,58%,1011.00 mbar,North Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Wenang/1896524/current-weather/1896524,10 Very High,16 km,N at 15 km/h,15 km/h
675919,Wonreli,9144 m,91%,Cloudy,25°,78%,1008.60 mbar,Maluku,29°,2:00 PM,https://www.accuweather.com/en/id/Wonreli/675919/current-weather/675919,6 High,10 km,NW at 21 km/h,27 km/h
