area_id,areaname,ceiling,cloud_cover,condition,dew_point,humidity,pressure,province,temperature,timestamp,url,uv_index,visibility,wind,wind_gust
3468385,Wanasaba,5700 m,76%,Mostly cloudy,24°,55%,1010.00 mbar,West Nusa Tenggara,34°,1:00 PM,https://www.accuweather.com/en/id/Wanasaba/3468385/current-weather/3468385,7 High,10 km,N at 6 km/h,6 km/h
3468201,Waja Geseng,5791 m,95%,Thunderstorm,23°,80%,1010.20 mbar,West Nusa Tenggara,26°,1:00 PM,https://www.accuweather.com/en/id/Waja-Geseng/3468201/current-weather/3468201,4 Moderate,11 km,NNE at 12 km/h,15 km/h
211671,Yogyakarta,0 m,92%,Cloudy,22°,57%,1010.30 mbar,Yogyakarta,31°,12:00 PM,https://www.accuweather.com/en/id/Yogyakarta/211671/current-weather/211671,3 Moderate,10 km,S at 9 km/h,12 km/h
3483901,Wattang,5913 m,89%,Mostly cloudy,25°,68%,1010.40 mbar,West Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Wattang/3483901/current-weather/3483901,5 Moderate,10 km,SSW at 10 km/h,13 km/h
3431366,Tanjung Harapan,5486 m,89%,Mostly cloudy,22°,78%,1011.30 mbar,West Sumatra,26°,12:00 PM,https://www.accuweather.com/en/id/Tanjung-Harapan/3431366/current-weather/3431366,4 Moderate,8 km,NE at 6 km/h,7 km/h
206184,Ujuang Gadiang,7224 m,92%,Cloudy,24°,78%,1011.20 mbar,West Sumatra,28°,12:00 PM,https://www.accuweather.com/en/id/Ujuang-Gadiang/206184/current-weather/206184,4 Moderate,8 km,SW at 5 km/h,6 km/h
3445608,Wonosari,5669 m,85%,Mostly cloudy,25°,74%,1011.10 mbar,South Sumatra,30°,12:00 PM,https://www.accuweather.com/en/id/Wonosari/3445608/current-weather/3445608,5 Moderate,10 km,NW at 6 km/h,8 km/h
3476635,Pekapuran Raya,6035 m,81%,Thunderstorm,26°,80%,1010.00 mbar,South Kalimantan,30°,1:00 PM,https://www.accuweather.com/en/id/Pekapuran-Raya/3476635/current-weather/3476635,5 Moderate,6 km,NNW at 8 km/h,10 km/h
3450030,Tiban Lama,5852 m,35%,Partly sunny,23°,65%,1012.00 mbar,Riau Islands,30°,12:00 PM,https://www.accuweather.com/en/id/Tiban-Lama/3450030/current-weather/3450030,8 Very High,16 km,NE at 15 km/h,18 km/h
3450057,Air Raja,5852 m,88%,Mostly cloudy,24°,68%,1012.00 mbar,Riau Islands,30°,12:00 PM,https://www.accuweather.com/en/id/Air-Raja/3450057/current-weather/3450057,4 Moderate,11 km,NNE at 22 km/h,27 km/h
