aqi,aqi_concentration,city_id,city_name,city_type,condition,country,exercise_desc,exercise_value,humidity,latitude,longitude,main_pollutant,pressure,province,temperature,timezone,url,wind_direction,wind_speed,windows_desc,windows_value
30,7.3,sczgAScnX3y9eDMxC,Pontianak,city,Rain,Indonesia,Enjoy outdoor activities,green,97,-0.04046,109.344387,pm25,1009,West Kalimantan,23,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/sczgAScnX3y9eDMxC?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,320,6.5,"Open your windows to bring clean, fresh air indoors",green
42,10.1,mAzACTP8KrzXdf3hG,Samarinda,city,Rain,Indonesia,Enjoy outdoor activities,green,90,-0.4948232,117.1436154,pm25,1010,East Kalimantan,25,Asia/Makassar,https://website-api.airvisual.com/v1/cities/mAzACTP8KrzXdf3hG?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,13,4.2,"Open your windows to bring clean, fresh air indoors",green
4,4.9,5bc821a941fdcdf1939dc740,Renon - Ritten,city,Scattered clouds,Italy,Enjoy outdoor activities,green,93,46.54152,11.45728,pm10,1014,Trentino-Alto Adige,0,Europe/Rome,https://website-api.airvisual.com/v1/cities/5bc821a941fdcdf1939dc740?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,0,5.4,"Open your windows to bring clean, fresh air indoors",green
9,2.3,5bc8216941fdcdf1939d9878,Jimbaran,city,Scattered clouds,Indonesia,Enjoy outdoor activities,green,100,-8.79093,115.16006,pm25,1008,Bali,26,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216941fdcdf1939d9878?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,250,7.6,"Open your windows to bring clean, fresh air indoors",green
37,8.9,JdnZEae4wBh7yfoJS,Palembang,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,95,-2.9760735,104.7754307,pm25,1009,South Sumatra,22,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/JdnZEae4wBh7yfoJS?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,313,6.3,"Open your windows to bring clean, fresh air indoors",green
25,6,oTKPAxe9wWuD3j7Hq,Batam,city,Few clouds,Indonesia,Enjoy outdoor activities,green,94,1.1300779,104.05292069999996,pm25,1012,Riau Islands,23,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/oTKPAxe9wWuD3j7Hq?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,15,14,"Open your windows to bring clean, fresh air indoors",green
62,17.2,ykP9abDfjCdmgRiTu,Pekanbaru,city,Broken clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,98,0.5070677,101.4477793,pm25,1010,Riau,21,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/ykP9abDfjCdmgRiTu?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,274,3.5,Close your windows to avoid dirty outdoor air,red
38,9.1,dyBBXKJTgDmaCBYix,Banjarbaru,city,Rain,Indonesia,Enjoy outdoor activities,green,96,-3.4572422,114.8103181,pm25,1008,South Kalimantan,23,Asia/Makassar,https://website-api.airvisual.com/v1/cities/dyBBXKJTgDmaCBYix?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,240,2.1,"Open your windows to bring clean, fresh air indoors",green
6,6.1,PLw5LTjZp3y5wXicB,Indrapuri,city,Rain,Indonesia,Enjoy outdoor activities,green,91,5.404765,95.461666,pm10,1010,Aceh,22,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/PLw5LTjZp3y5wXicB?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,109,2.6,"Open your windows to bring clean, fresh air indoors",green
4,1,Q9HEHxJSRpG9DAzQm,Palangkaraya,city,Rain,Indonesia,Enjoy outdoor activities,green,93,-2.2161048,113.913977,pm25,1011,Central Kalimantan,25,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/Q9HEHxJSRpG9DAzQm?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,224,6.7,"Open your windows to bring clean, fresh air indoors",green
