aqi,aqi_concentration,city_id,city_name,city_type,condition,country,exercise_desc,exercise_value,humidity,latitude,longitude,main_pollutant,pressure,province,temperature,timezone,url,wind_direction,wind_speed,windows_desc,windows_value
53,13.2,sczgAScnX3y9eDMxC,Pontianak,city,Rain,Indonesia,Sensitive groups should reduce outdoor exercise,orange,69,-0.04046,109.344387,pm25,1009,West Kalimantan,31,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/sczgAScnX3y9eDMxC?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,130,1.9,Close your windows to avoid dirty outdoor air,red
17,4,5bc821a941fdcdf1939dc740,Renon - Ritten,city,Clear sky,Italy,Enjoy outdoor activities,green,92,46.54152,11.45728,pm25,1036,Trentino-Alto Adige,-3,Europe/Rome,https://website-api.airvisual.com/v1/cities/5bc821a941fdcdf1939dc740?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,0,3.6,"Open your windows to bring clean, fresh air indoors",green
17,4.1,mAzACTP8KrzXdf3hG,Samarinda,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,50,-0.4948232,117.1436154,pm25,1008,East Kalimantan,33,Asia/Makassar,https://website-api.airvisual.com/v1/cities/mAzACTP8KrzXdf3hG?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,30,8.6,"Open your windows to bring clean, fresh air indoors",green
55,13.9,5bc8216941fdcdf1939d9878,Jimbaran,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,75,-8.79093,115.16006,pm25,1008,Bali,32,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216941fdcdf1939d9878?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,270,16.6,Close your windows to avoid dirty outdoor air,red
41,10,oTKPAxe9wWuD3j7Hq,Batam,city,Few clouds,Indonesia,Enjoy outdoor activities,green,59,1.1300779,104.05292069999996,pm25,1012,Riau Islands,31,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/oTKPAxe9wWuD3j7Hq?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,60,18.4,"Open your windows to bring clean, fresh air indoors",green
12,3,Q9HEHxJSRpG9DAzQm,Palangkaraya,city,Rain,Indonesia,Enjoy outdoor activities,green,67,-2.2161048,113.913977,pm25,1008,Central Kalimantan,31,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/Q9HEHxJSRpG9DAzQm?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,33,8.1,"Open your windows to bring clean, fresh air indoors",green
58,15.5,LembLiKtxzRZbDYP4,Jakarta,city,Broken clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,74,-6.236704,106.79324,pm25,1009,Jakarta,30,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/LembLiKtxzRZbDYP4?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,330,24.1,Close your windows to avoid dirty outdoor air,red
34,8.1,dyBBXKJTgDmaCBYix,Banjarbaru,city,Rain,Indonesia,Enjoy outdoor activities,green,57,-3.4572422,114.8103181,pm25,1008,South Kalimantan,33,Asia/Makassar,https://website-api.airvisual.com/v1/cities/dyBBXKJTgDmaCBYix?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,34,0.4,"Open your windows to bring clean, fresh air indoors",green
53,12.9,JdnZEae4wBh7yfoJS,Palembang,city,Rain,Indonesia,Sensitive groups should reduce outdoor exercise,orange,82,-2.9760735,104.7754307,pm25,1009,South Sumatra,28,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/JdnZEae4wBh7yfoJS?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,353,6.8,Close your windows to avoid dirty outdoor air,red
41,9.8,ykP9abDfjCdmgRiTu,Pekanbaru,city,Rain,Indonesia,Enjoy outdoor activities,green,63,0.5070677,101.4477793,pm25,1010,Riau,30,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/ykP9abDfjCdmgRiTu?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,71,8.1,"Open your windows to bring clean, fresh air indoors",green
